,HCT116_DMSO_8h,HCT116_DMSO_24h,HCT116_HCQ_8h,HCT116_HCQ_24h,HCT116_Rem_8h,HCT116_Rem_24h,HepG2_DMSO_8h,HepG2_DMSO_24h,HepG2_HCQ_8h,HepG2_HCQ_24h,HepG2_Rem_8h,HepG2_Rem_24h,HT29_DMSO_8h,HT29_DMSO_24h,HT29_HCQ_8h,HT29_HCQ_24h,HT29_Rem_8h,HT29_Rem_24h,PLC_DMSO_8h,PLC_DMSO_24h,PLC_HCQ_8h,PLC_HCQ_24h,PLC_Rem_8h,PLC_Rem_24h
ENSG00000130707.17,36,49,22,34,23,273,251,147,198,247,177,64,27,7,6,51,113,6,11213,982,1098,2880,1410,3940
ENSG00000130711.3,0,0,0,0,0,2,1,2,2,1,0,6,0,2,1,0,0,0,0,0,0,0,0,0
ENSG00000130713.15,515,492,138,120,155,1121,277,214,132,103,149,103,498,238,143,49,1745,85,886,96,40,68,65,207
ENSG00000130714.15,30,38,4,11,15,93,61,48,72,58,62,80,39,25,7,4,144,22,378,35,24,43,36,73
ENSG00000130717.12,88,86,16,19,30,284,130,99,81,83,65,37,162,79,49,33,331,42,609,62,36,72,27,168
ENSG00000130720.12,85,72,32,22,26,300,10,15,9,11,10,7,2,0,1,1,19,1,17,0,2,6,5,0
ENSG00000130723.19,580,585,298,293,168,1764,539,381,523,536,414,856,780,364,395,334,3287,332,1412,144,114,343,110,424
ENSG00000130724.8,442,358,122,132,130,931,296,232,271,163,201,120,901,470,303,204,3523,99,3085,272,257,424,253,387
ENSG00000130725.7,540,534,198,105,168,1471,174,156,174,108,160,195,1368,483,248,180,3370,206,2385,139,125,276,113,445
ENSG00000130726.11,2950,2848,951,564,1018,8071,1157,966,828,636,688,1134,2693,1438,822,561,10296,979,7343,618,452,634,541,1834
ENSG00000130731.15,546,451,162,87,184,1554,552,441,368,386,434,201,1087,687,263,164,4444,157,3042,244,200,384,292,553
ENSG00000130733.10,207,181,67,70,83,638,329,245,233,282,242,79,426,161,144,134,1259,80,1401,149,93,206,116,297
ENSG00000130734.9,151,146,64,91,45,442,85,66,75,85,57,79,128,72,39,37,487,25,278,22,35,70,26,86
ENSG00000130741.10,435,437,191,131,187,1128,321,290,324,244,254,218,607,256,219,252,2106,181,5124,447,310,723,356,1046
ENSG00000130748.6,105,107,21,22,26,142,62,37,53,37,40,21,130,101,47,20,709,18,1025,101,82,102,67,156
ENSG00000130749.9,271,274,116,102,100,869,354,287,327,309,436,345,576,320,225,143,2924,228,1787,176,163,336,186,423
ENSG00000130751.9,4,2,0,1,1,8,2,0,6,5,5,12,2,0,0,1,17,1,90,14,6,13,12,28
ENSG00000130755.12,0,0,0,0,0,4,7,9,4,3,6,1,1,0,0,1,11,0,9,0,1,2,0,0
ENSG00000130758.7,5,8,2,2,2,51,11,9,4,14,12,10,13,2,4,2,58,5,116,15,16,46,15,55
