ENSG00000012504.13,ENSG00000012504,13,ENSG00000012504,NR1H4
ENSG00000012660.13,ENSG00000012660,13,ENSG00000012660,ELOVL5
ENSG00000012779.10,ENSG00000012779,10,ENSG00000012779,ALOX5
ENSG00000012817.15,ENSG00000012817,15,ENSG00000012817,KDM5D
ENSG00000012822.15,ENSG00000012822,15,ENSG00000012822,CALCOCO1
ENSG00000012963.14,ENSG00000012963,14,ENSG00000012963,UBR7
ENSG00000012983.11,ENSG00000012983,11,ENSG00000012983,MAP4K5
ENSG00000013016.15,ENSG00000013016,15,ENSG00000013016,EHD3
ENSG00000013275.7,ENSG00000013275,7,ENSG00000013275,PSMC4
ENSG00000013288.8,ENSG00000013288,8,ENSG00000013288,MAN2B2
ENSG00000013297.11,ENSG00000013297,11,ENSG00000013297,CLDN11
ENSG00000013306.15,ENSG00000013306,15,ENSG00000013306,SLC25A39
ENSG00000013364.18,ENSG00000013364,18,ENSG00000013364,MVP
ENSG00000013374.16,ENSG00000013374,16,ENSG00000013374,NUB1
ENSG00000013375.15,ENSG00000013375,15,ENSG00000013375,PGM3
ENSG00000013392.7,ENSG00000013392,7,ENSG00000013392,RWDD2A
ENSG00000013441.15,ENSG00000013441,15,ENSG00000013441,CLK1
ENSG00000013503.9,ENSG00000013503,9,ENSG00000013503,POLR3B
ENSG00000013523.9,ENSG00000013523,9,ENSG00000013523,ANGEL1
ENSG00000013561.17,ENSG00000013561,17,ENSG00000013561,RNF14
ENSG00000013563.13,ENSG00000013563,13,ENSG00000013563,DNASE1L1
ENSG00000013573.16,ENSG00000013573,16,ENSG00000013573,DDX11
ENSG00000013583.8,ENSG00000013583,8,ENSG00000013583,HEBP1
ENSG00000013588.7,ENSG00000013588,7,ENSG00000013588,GPRC5A
ENSG00000013619.13,ENSG00000013619,13,ENSG00000013619,MAMLD1
ENSG00000013725.14,ENSG00000013725,14,ENSG00000013725,CD6
ENSG00000013810.18,ENSG00000013810,18,ENSG00000013810,TACC3
ENSG00000014123.9,ENSG00000014123,9,ENSG00000014123,UFL1
ENSG00000014138.8,ENSG00000014138,8,ENSG00000014138,POLA2
ENSG00000014164.6,ENSG00000014164,6,ENSG00000014164,ZC3H3
ENSG00000014216.15,ENSG00000014216,15,ENSG00000014216,CAPN1
ENSG00000014257.15,ENSG00000014257,15,ENSG00000014257,ACPP
ENSG00000014641.17,ENSG00000014641,17,ENSG00000014641,MDH1
ENSG00000014824.13,ENSG00000014824,13,ENSG00000014824,SLC30A9
ENSG00000014914.20,ENSG00000014914,20,ENSG00000014914,MTMR11
ENSG00000014919.12,ENSG00000014919,12,ENSG00000014919,COX15
ENSG00000015133.18,ENSG00000015133,18,ENSG00000015133,CCDC88C
ENSG00000015153.14,ENSG00000015153,14,ENSG00000015153,YAF2
ENSG00000015171.19,ENSG00000015171,19,ENSG00000015171,ZMYND11
ENSG00000015285.10,ENSG00000015285,10,ENSG00000015285,WAS
ENSG00000015413.9,ENSG00000015413,9,ENSG00000015413,DPEP1
ENSG00000015475.18,ENSG00000015475,18,ENSG00000015475,BID
ENSG00000015479.18,ENSG00000015479,18,ENSG00000015479,MATR3
ENSG00000015520.14,ENSG00000015520,14,ENSG00000015520,NPC1L1
ENSG00000015532.9,ENSG00000015532,9,ENSG00000015532,XYLT2
ENSG00000015592.16,ENSG00000015592,16,ENSG00000015592,STMN4
ENSG00000015676.17,ENSG00000015676,17,ENSG00000015676,NUDCD3
ENSG00000016082.14,ENSG00000016082,14,ENSG00000016082,ISL1
ENSG00000016391.10,ENSG00000016391,10,ENSG00000016391,CHDH
ENSG00000016402.13,ENSG00000016402,13,ENSG00000016402,IL20RA
ENSG00000016602.9,ENSG00000016602,9,ENSG00000016602,CLCA4
ENSG00000016864.18,ENSG00000016864,18,ENSG00000016864,GLT8D1
